INFO 2026-01-08 18:34:49,266 log 7164 13724 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-01-08 18:34:49,278 log 7164 16408 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-01-08 18:35:09,699 log 7164 6672 "GET /admin/ HTTP/1.1" 200 10446
INFO 2026-01-08 18:35:23,682 log 7164 6672 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:35:23,702 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:35:26,539 log 7164 6672 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:35:26,553 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:05,511 log 7164 6672 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:39:05,526 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:07,928 log 7164 6672 "GET /admin/admin_core/approvalrequest/add/ HTTP/1.1" 200 21851
INFO 2026-01-08 18:39:07,945 log 7164 8084 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:39:07,945 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:15,122 log 7164 6672 "GET /admin/admin_core/auditlog/ HTTP/1.1" 200 13467
INFO 2026-01-08 18:39:20,741 log 7164 6672 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:39:20,755 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:30,146 log 7164 6672 "GET /admin/admin_core/role/add/ HTTP/1.1" 200 13920
INFO 2026-01-08 18:39:30,159 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:36,086 log 7164 6672 "GET /admin/admin_core/unit/add/ HTTP/1.1" 200 17756
INFO 2026-01-08 18:39:36,102 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:48,257 log 7164 6672 "GET /admin/admin_core/user/ HTTP/1.1" 200 17584
INFO 2026-01-08 18:39:48,273 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:53,155 log 7164 6672 "GET /admin/admin_core/user/add/ HTTP/1.1" 200 30939
INFO 2026-01-08 18:39:53,168 log 7164 8084 "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2026-01-08 18:39:53,172 log 7164 6672 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:39:53,178 log 7164 16856 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2026-01-08 18:39:53,209 log 7164 16856 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:40:58,126 log 7164 16856 "GET /admin/admin_core/unit/ HTTP/1.1" 200 20462
INFO 2026-01-08 18:40:58,143 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:41:39,211 log 7164 16856 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:41:39,229 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:41:45,904 log 7164 16856 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:41:45,919 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:41:47,217 log 7164 16856 "GET /admin/admin_core/auditlog/ HTTP/1.1" 200 13467
INFO 2026-01-08 18:41:48,691 log 7164 16856 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:41:48,706 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:41:58,069 log 7164 16856 "GET /admin/admin_core/unit/ HTTP/1.1" 200 20462
INFO 2026-01-08 18:41:58,084 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:42:00,891 log 7164 16856 "GET /admin/admin_core/unit/8/change/ HTTP/1.1" 200 18222
INFO 2026-01-08 18:42:00,906 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:42:23,818 log 7164 16856 "GET /admin/admin_core/user/ HTTP/1.1" 200 17584
INFO 2026-01-08 18:42:23,834 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:42:26,704 log 7164 16856 "GET /admin/admin_core/user/3/change/ HTTP/1.1" 200 31325
INFO 2026-01-08 18:42:26,719 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:42:52,341 log 7164 16856 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:42:52,356 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:43:13,973 log 7164 16856 "GET /admin/admin_core/user/ HTTP/1.1" 200 17584
INFO 2026-01-08 18:43:13,987 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:43:15,318 log 7164 16856 "GET /admin/admin_core/user/1/change/ HTTP/1.1" 200 31236
INFO 2026-01-08 18:43:15,334 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:43:30,795 log 7164 16856 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:43:30,811 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:43:35,862 log 7164 16856 "GET /admin/admin_core/auditlog/ HTTP/1.1" 200 13467
INFO 2026-01-08 18:43:36,919 log 7164 16856 "GET /admin/admin_core/approvalrequest/ HTTP/1.1" 200 13883
INFO 2026-01-08 18:43:36,933 log 7164 16856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:44:00,285 log 7164 16856 "GET /admin/auth/group/ HTTP/1.1" 200 11110
